id,model_name,model_id,model_version_id,version_name,civitai_url,trigger_words
1,Juggernaut Cinematic XL LoRA,120663,131991,Version 2,https://civitai.com/models/120663/juggernaut-cinematic-xl-lora?modelVersionId=131991,"Movie Still, Film Still, Cinematic, Cinematic Shot, Cinematic Lighting"
2,ClassipeintXL (oil paint / oil painting style),127139,356771,v2.1,https://civitai.com/models/127139/classipeintxl-oil-paint-oil-painting-style?modelVersionId=356771,oil painting
3,Dissolve Style [FLUX+SDXL+SD1.5],245889,277389,SDXL,https://civitai.com/models/245889/dissolve-style-fluxsdxlsd15?modelVersionId=277389,ral-dissolve
4,ParchartXL,141471,440425,CODA,https://civitai.com/models/141471/parchartxl?modelVersionId=440425,on parchment
5,Eldritch Comics (comic book style illustration),262880,305491,v1.2,https://civitai.com/models/262880/eldritch-comics-comic-book-style-illustration?modelVersionId=305491,comic book
6,CLAYMATE - Claymation Style for SDXL,208168,236248,v2.0,https://civitai.com/models/208168/claymate-claymation-style-for-sdxl?modelVersionId=236248,claymation
7,Papercut SDXL,122567,133503,v1.0,https://civitai.com/models/122567/papercut-sdxl?modelVersionId=133503,papercut
8,Sketchit,303330,340557,v1.0,https://civitai.com/models/303330/sketchit?modelVersionId=340557,a black and white drawing
9,SDXL MS Paint Portraits,183354,205793,v1.0,https://civitai.com/models/183354/sdxl-ms-paint-portraits?modelVersionId=205793,"MSPaint portrait, MSPaint drawing"
10,DreamyVibes Artsyle - SDXL LoRA,255143,287607,v1.0,https://civitai.com/models/255143/dreamyvibes-artsyle-sdxl-lora?modelVersionId=287607,Dreamyvibes Artstyle
11,Voxel XL,118536,128609,Voxel XL v1.0,https://civitai.com/models/118536/voxel-xl?modelVersionId=128609,voxel style
12,Lava Style [FLUX+SDXL+1.5],203169,386119,SDXL v2,https://civitai.com/models/203169/lava-style-fluxsdxl15?modelVersionId=386119,ral-lava
13,[Lah] Cyberpunk | SDXL,133621,147106,v1.0,https://civitai.com/models/133621/lah-cyberpunk-or-sdxl?modelVersionId=147106,"cyberpunk style, cyberpunk"
14,Alphonse Mucha Style (authentic),63072,153680,SD XL,https://civitai.com/models/63072/alphonse-mucha-style-authentic?modelVersionId=153680,Alphonse Mucha Style page
15,Blacklight Makeup — SDXL LoRA,134643,153389,v2,https://civitai.com/models/134643/blacklight-makeup-sdxl-lora?modelVersionId=153389,blacklight makeup
16,Caricature XL,181092,348083,V2.0,https://civitai.com/models/181092/caricature-xl?modelVersionId=348083,caricature
17,Soviet poster XL,183892,206390,Soviet-poster,https://civitai.com/models/183892/soviet-poster-xl?modelVersionId=206390,soviet poster
18,Line Art + Flat Colors SDXL,134955,148673,Line Art + Flat Colors SDXL,https://civitai.com/models/134955/line-art-flat-colors-sdxl?modelVersionId=148673,"lineart, line art, flat colors, flat color"
19,Crayon Style - SDXL & SD1.5,120853,131462,v1_SDXL,https://civitai.com/models/120853/crayon-style-sdxl-and-sd15?modelVersionId=131462,
20,Ukiyo-e Art,107093,154278,SD XL,https://civitai.com/models/107093/ukiyo-e-art?modelVersionId=154278,Ukiyo-e Art
21,Stained Glass Portrait,106704,154221,SD XL,https://civitai.com/models/106704/stained-glass-portrait?modelVersionId=154221,Stained Glass Portrait
22,Opal Style [FLUX+SDXL+SD1.5],225003,381342,SDXL v2,https://civitai.com/models/225003/opal-style-fluxsdxlsd15?modelVersionId=381342,ral-opal
23,Vector Cartoon Illustration,278230,313440,v1.0,https://civitai.com/models/278230/vector-cartoon-illustration?modelVersionId=313440,Vector Cartoon Illustration
24,SDXL Inkdrawing,154918,173694,v1.0,https://civitai.com/models/154918/sdxl-inkdrawing?modelVersionId=173694,Inkdrawing
25,80s Fantasy Movie,789313,1823363,SDXLMJ7,https://civitai.com/models/789313?modelVersionId=1823363,80s Fantasy Movie Still
26,Watercolor Style [SDXL],484723,539071,SDXL,https://civitai.com/models/484723/watercolor-style-sdxl?modelVersionId=539071,ral-wtrclr
27,👻 Ghost Style👻,169671,190677,v1.0,https://civitai.com/models/169671/ghost-style?modelVersionId=190677,GhostlyStyle
28,Children's Illustration,144841,161019,v1.0,https://civitai.com/models/144841/childrens-illustration?modelVersionId=161019,Children's Illustration Style
29,Pixel art SDXL RW,114334,123593,Pixelart XL v1.0,https://civitai.com/models/114334/pixel-art-sdxl-rw?modelVersionId=123593,pixelart
30,Electricity Style [LoRA 1.5+SDXL],267058,301123,SDXL,https://civitai.com/models/267058/electricity-style-lora-15sdxl?modelVersionId=301123,ral-elctryzt
31,Melting Style [LoRA 1.5+SDXL],245919,277422,SDXL,https://civitai.com/models/245919/melting-style-lora-15sdxl?modelVersionId=277422,ral-melting
32,Kawaii Makeup XL,233180,302657,V2,https://civitai.com/models/233180/kawaii-makeup-xl?modelVersionId=302657,kawaii makeup
33,"Cinematic Photographic Vintage Film Style (70's, 80's, 90's) XL + F1D",191758,691135,Vintage Film XL v3,https://civitai.com/models/191758/cinematic-photographic-vintage-film-style-70s-80s-90s-xl-f1d?modelVersionId=691135,"Cinematic Vintage Hollywood Film Style, 1980 style"
34,Doctor Diffusion's Controllable Vector Art XL LoRA,156859,234474,V2.0,https://civitai.com/models/156859/doctor-diffusions-controllable-vector-art-xl-lora?modelVersionId=234474,vector
35,Steampunk [Style] LoRA XL,135168,211715,v2,https://civitai.com/models/135168?modelVersionId=211715,steampunk
36,SDXL Ink Stains,158375,177999,v1.0,https://civitai.com/models/158375/sdxl-ink-stains?modelVersionId=177999,Inkstains
37,Origami Style [FLUX+SDXL+1.5],206575,232557,SDXL,https://civitai.com/models/206575/origami-style-fluxsdxl15?modelVersionId=232557,ral-orgmi
38,Movie Poster,106076,154072,SD XL,https://civitai.com/models/106076/movie-poster?modelVersionId=154072,Movie Poster page
39,Polygon Style [LoRA 1.5+SDXL],234324,264213,SDXL,https://civitai.com/models/234324/polygon-style-lora-15sdxl?modelVersionId=264213,ral-polygon
40,Bling Style [SDXL],277466,312625,SDXL,https://civitai.com/models/277466/bling-style-sdxl?modelVersionId=312625,ral-bling
41,Blindbox SDXL,133701,147199,v1.0,https://civitai.com/models/133701/blindbox-sdxl?modelVersionId=147199,blindbox
42,Polaroid Scan,269575,303904,v1.0,https://civitai.com/models/269575/polaroid-scan?modelVersionId=303904,Polaroid
43,Female Orcs FLUX & XL,138717,153307,v1.0,https://civitai.com/models/138717/female-orcs-flux-and-xl?modelVersionId=153307,"orc, female orc, fangs, green skin"
44,SDXL Caricaturized Lora,140430,155625,v1.0,https://civitai.com/models/140430/sdxl-caricaturized-lora?modelVersionId=155625,Caricaturized
45,Wojak SDXL,128046,140160,v1.0,https://civitai.com/models/128046/wojak-sdxl?modelVersionId=140160,wojak
